"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Common Wine (bottle)","PHB'24","231","none","Food and Drink","","","","","","2 SP",""
"Component Pouch","PHB'24","225","none","Adventuring Gear","","","","","2 lb.","25 GP","A Component Pouch is watertight and filled with compartments that hold all the free Material components of your spells."
"Cook's Utensils","PHB'24","220","none","Artisan's Tools","","","","","8 lb.","1 GP","Ability: WisdomUtilize: Improve food's flavor (DC 10), or detect spoiled or poisoned food (DC 15)Craft: RationsArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Copper","DMG'24","213","none","Trade Good","","","","","1 lb.","5 SP","Merchants commonly exchange trade goods without using currency."
"Copper chalice with silver filigree","DMG'24","215","none","Treasure (Art Object)","","","","","","25 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Coral","DMG'24","214","none","Treasure (Gemstone)","","","","","","100 GP","A crimson gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Costume","PHB'24","225","none","Adventuring Gear","","","","","4 lb.","5 GP","While wearing a Costume, you have Advantage on any ability check you make to impersonate the person or type of person it represents."
"Cotton Cloth (1 sq. yd.)","DMG'24","213","none","Trade Good","","","","","","5 SP","Merchants commonly exchange trade goods without using currency."
"Cow","DMG'24","213","none","Trade Good","","","","","","10 GP","Merchants commonly exchange trade goods without using currency."
"Crampons","IDRotF","20","none","Adventuring Gear","","","","","¼ lb.","2 GP","A crampon is a metal plate with spikes that is strapped to the sole of a boot. A creature wearing crampons can't fall prone while moving across slippery ice."
"Crossbow Bolt Case","PHB'24","224","none","Adventuring Gear","","","","","1 lb.","1 GP","A Crossbow Bolt Case holds up to 20 Bolts."
"Crowbar","PHB'24","225","none","Adventuring Gear","","","","","5 lb.","2 GP","Using a Crowbar gives you Advantage on Strength checks where the Crowbar's leverage can be applied."
"Crystal","PHB'24","224","none","Spellcasting Focus","","","","","1 lb.","10 GP","An Arcane Focus takes a specific form and is bejeweled or carved to channel arcane magic. A Sorcerer, Warlock, or Wizard can use such an item as a Spellcasting Focus."
"Dagger","PHB'24","215","none","Weapon, Simple Weapon, Melee Weapon","","1d4 Piercing","Finesse, Light, Thrown (20/60 ft.)","Mastery: Nick","1 lb.","2 GP","Finesse. When making an attack with a Finesse weapon, use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Mastery: Nick. When you make the extra attack of the Light property, you can make it as part of the Attack action instead of as a Bonus Action. You can make this extra attack only once per turn."
"Dart","PHB'24","215","none","Weapon, Simple Weapon, Ranged Weapon","","1d4 Piercing","Finesse, Thrown (20/60 ft.)","Mastery: Vex","¼ lb.","5 CP","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Finesse. When making an attack with a Finesse weapon, use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"Detailed, life-sized dragonborn skull cast in electrum","DMG'24","215","none","Treasure (Art Object)","","","","","","750 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Diamond","DMG'24","214","none","Treasure (Gemstone)","","","","","","5.000 GP","A blue white, canary, pink, brown, or blue gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Dice Set","PHB'24","221","none","Gaming Set","","","","","","1 SP","Ability: WisdomUtilize: Discern whether someone is cheating (DC 10), or win the game (DC 20)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Diplomat's Pack","PHB'24","225","none","Adventuring Gear","","","","","39 lb.","39 GP","A Diplomat's Pack contains the following items: Chest, Fine Clothes, Ink, 5 Ink Pens, Lamp, 2 Map or Scroll Cases, 4 flasks of Oil, 5 sheets of Paper, 5 sheets of Parchment, Perfume, and Tinderbox."
"Disguise Kit","PHB'24","221","none","Tool","","","","","3 lb.","25 GP","Ability: CharismaUtilize: Apply makeup (DC 10)Craft: CostumeIf you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Dogsled","IDRotF","20","none","Vehicle (Land)","","","","","300 lb.","20 GP","An empty sled costs 20 gp, weighs 300 pounds, and has room at the back for one driver."
"Double-Bladed Scimitar","ERLW","21","none","Weapon, Martial Weapon, Melee Weapon","","2d4 Slashing","two‑handed, special","","6 lb.","100 GP","Special. If you attack with a double-bladed scimitar as part of the Attack action on your turn, you can use a bonus action immediately after to make a melee attack with it. This attack deals 1d4 slashing damage on a hit, instead of 2d4. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Draft Horse","PHB'24","229","none","Mount","","Speed: 40, Carrying Capacity: 540 lb.","","","","50 GP",""
"Dragon's Blood","ERLW","244","none","Other","","","","","","","Introduced into Sharn by Daask, dragon's blood is a potent and highly addictive stimulant. In addition to inducing euphoria, it can enhance spellcasting ability or even temporarily imbue a user with the ability to cast sorcerer spells. The drug's effects are potentially dangerous and always unpredictable. This isn't something a player character should want to use; adventurers are more likely to interfere with Daask smugglers or deal with an addict who accidentally casts a fireball in a crowded street. The specific effects of dragon's blood are up to you, but you can take inspiration from the Wild Magic Surge table in the Player's Handbook."
"Dragonchess Set","PHB'24","221","none","Gaming Set","","","","","","1 GP","Ability: WisdomUtilize: Discern whether someone is cheating (DC 10), or win the game (DC 20)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Dreamlily","ERLW","244","none","Other","","","","","","","A psychoactive liquid that smells and tastes like your favorite beverage, essence of dreamlily is a Sarlonan opiate. First imported to help manage pain during the Last War, it's now the most commonly abused substance in Sharn. Though dreamlily isn't illegal if used for medicinal purposes, it's heavily taxed, and thus most dreamlily is smuggled in and sold on the black market. Dreamlily dens can be found across the lower wards. Consuming dreamlily causes disorienting euphoria and brings about remarkable resistance to pain. A creature under the effects of dreamlily is poisoned for 1 hour. While poisoned in this way, the creature is immune to fear, and the first time it drops to 0 hit points without being killed outright, it drops to 1 hit point instead. A dose of dreamlily costs around 1 gp, or up to ten times that if purchased through legal channels. There are many varieties of the drug, however, and the duration or the price might vary accordingly."
"Druidic Focus","PHB'24","225","none","Spellcasting Focus","","","","","","","A Druidic Focus takes a specific form and is carved, tied with ribbon, or painted to channel primal magic. A Druid or Ranger can use such an object as a Spellcasting Focus.Multiple variations of this item exist, as listed below:Sprig of mistletoeWooden staffYew wand"
"Drum","PHB'24","221","none","Instrument","","","","","3 lb.","6 GP","Ability: CharismaUtilize: Play a known tune (DC 10), or improvise a song (DC 15)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Dulcimer","PHB'24","221","none","Instrument","","","","","10 lb.","25 GP","Ability: CharismaUtilize: Play a known tune (DC 10), or improvise a song (DC 15)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Dungeoneer's Pack","PHB'24","225","none","Adventuring Gear","","","","","55 lb.","12 GP","A Dungeoneer's Pack contains the following items: Backpack, Caltrops, Crowbar, 2 flasks of Oil, 10 days of Rations, Rope, Tinderbox, 10 Torches, and Waterskin."
"Dynamite Stick","DMG'24","73","none","Explosive, Modern","","","","","1 lb.","","An an action, you can light a Dynamite Stick and throw it at a point up to 60 feet away, where it explodes. Each creature in a 5-foot-radius Sphere centered on that point makes a DC 12 Dexterity saving throw, taking 3d6 Force damage on a failed save or half as much damage on a successful one.It takes 1 minute to bind two or more Dynamite Sticks together so they explode at the same time. Each stick after the first increases the damage by 1d6 (to a maximum of 10d6) and the effect's radius by 5 feet (to a maximum of 20 feet).It takes 1 minute to rig dynamite with a longer fuse so it explodes after a longer period of time, such as 1 minute or 10 minutes."
"Elephant","PHB'24","229","none","Mount","","Speed: 40, Carrying Capacity: 1320 lb.","","","","200 GP",""
"Emblem","PHB'24","226","none","Spellcasting Focus","","","","","","5 GP","For an Emblem to be an effective Holy Symbol, it must be borne on fabric (such as a tabard or banner) or a Shield.A Holy Symbol takes a specific form and is bejeweled or painted to channel divine magic. A Cleric or Paladin can use a Holy Symbol as a Spellcasting Focus."
"Embroidered glove set with jewel chips","DMG'24","215","none","Treasure (Art Object)","","","","","","2.500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Embroidered silk and velvet mantle set with numerous moonstones","DMG'24","215","none","Treasure (Art Object)","","","","","","2.500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Embroidered silk handkerchief","DMG'24","215","none","Treasure (Art Object)","","","","","","25 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Emerald","DMG'24","214","none","Treasure (Gemstone)","","","","","","1.000 GP","A deep bright green gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Energy Cell","DMG'24","72","none","Ammunition, Futuristic","","","","","½ lb.","",""
"Entertainer's Pack","PHB'24","225","none","Adventuring Gear","","","","","58½ lb.","40 GP","An Entertainer's Pack contains the following items: Backpack, Bedroll, Bell, Bullseye Lantern, 3 Costumes, Mirror, 8 flasks of Oil, 9 days of Rations, Tinderbox, and Waterskin."
"Essence of Ether","DMG'24","90","none","Adventuring Gear, Poison (Inhaled)","","","","","","300 GP","A creature subjected to Essence of Ether must succeed on a DC 15 Constitution saving throw or have the Poisoned condition for 8 hours. The creature also has the Unconscious condition while Poisoned in this way. The creature wakes up if it takes damage or if another creature takes an action to shake it awake."
"Exotic Saddle","PHB'24","230","none","Tack and Harness","","","","","40 lb.","60 GP","A saddle comes with a bit, a bridle, reins, and any other equipment needed to use the saddle. An Exotic Saddle is required for riding an aquatic or a flying mount."
"Explorer's Pack","PHB'24","225","none","Adventuring Gear","","","","","55 lb.","10 GP","An Explorer's Pack contains the following items: Backpack, Bedroll, 2 flasks of Oil, 10 days of Rations, Rope, Tinderbox, 10 Torches, and Waterskin."
"Explosive Seed","EGW","225","none","Adventuring Gear","","","","","","","This acorn-sized sphere of brass contains a small amount of blasting powder and a clockwork trigger. An explosive seed can be thrown up to 30 feet as an action, detonating on impact. Each creature within 5 feet of the exploding seed must make a DC 10 Dexterity saving throw, taking 1d8 bludgeoning damage on a failed save, or half as much damage on a successful one."
"Eye Agate","DMG'24","214","none","Treasure (Gemstone)","","","","","","10 GP","A circles of gray, white, brown, blue, or green gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Eye patch decorated with tiny blue sapphires and moonstones","DMG'24","215","none","Treasure (Art Object)","","","","","","2.500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Fargab","DSotDQ","188","none","Adventuring Gear","","","","","","","These backpack-sized devices are created in pairs, with matching numbers engraved on them, and allow communication over a long distance using radio frequencies. While wearing a fargab, you can use an action to speak into the device's mouthpiece and send a short message of twenty-five words or less to another creature wearing the matched fargab while it is within 18 miles of you. The message emits from the speakers of the device and can be heard up to 10 feet away from the device. If no creature is wearing the fargab, the speakers make static noises instead."
"Feed (per day)","PHB'24","230","none","Tack and Harness","","","","","10 lb.","5 CP",""
"Fine Clothes","PHB'24","225","none","Adventuring Gear","","","","","6 lb.","15 GP","Fine Clothes are made of expensive fabrics and adorned with expertly crafted details. Some events and locations admit only people wearing these clothes."
"Fine Wine (bottle)","PHB'24","231","none","Food and Drink","","","","","","10 GP",""
"Fine gold chain set with a fire opal","DMG'24","215","none","Treasure (Art Object)","","","","","","2.500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Fire Opal","DMG'24","214","none","Treasure (Gemstone)","","","","","","1.000 GP","A fiery red gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Firearm Bullet","PHB'24","222","none","Ammunition","","","","","⅕ lb.","3 SP","Firearm Bullets are destroyed upon use in a modern firearm."
"Firearm Bullets (10)","PHB'24","222","none","Ammunition","","","","","2 lb.","3 GP","Firearm Bullets are destroyed upon use in a modern firearm."
"Flail","PHB'24","215","none","Weapon, Martial Weapon, Melee Weapon","","1d8 Bludgeoning","","Mastery: Sap","2 lb.","10 GP","Mastery: Sap. If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
"Flask","PHB'24","225","none","Adventuring Gear","","","","","1 lb.","2 CP","A Flask holds up to 1 pint."
"Flensing Claws","VGM","81","unknown","Other","","","","","","","Illithids don't always provide their thralls with normal weapons, such as swords and axes. Sometimes they improve the natural capabilities of thralls by giving them new anatomy. Flensing claws take the form of articulated digits that extend into long metal blades. The claws are knitted into the flesh and bones of a creature's arms and can't be removed without surgical amputation.Each set of flensing claws is designed for a specific creature and can't be used by anyone else. A creature equipped with flensing claws can use its action to make one melee weapon attack with the claws. The claws deal slashing damage based on the creature's size. The creature adds its proficiency bonus and Strength modifier to any attack roll made with the claws, and its Strength modifier to its damage roll when it hits a target with the claws. Tiny and Gargantuan creatures can't be fitted with flensing claws.Multiple variations of this item exist, as listed below:Flensing Claws (Small)Flensing Claws (Medium)Flensing Claws (Large)Flensing Claws (Huge)"
"Flensing Claws (Huge)","VGM","81","unknown","Other","","2d8 Slashing","","","","","Flensing claws take the form of articulated digits that extend into long metal blades. The claws are knitted into the flesh and bones of a creature's arms and can't be removed without surgical amputation.Each set of flensing claws is designed for a specific creature and can't be used by anyone else. A creature equipped with flensing claws can use its action to make one melee weapon attack with the claws. The creature adds its proficiency bonus and Strength modifier to any attack roll made with the claws, and its Strength modifier to its damage roll when it hits a target with the claws."
"Flensing Claws (Large)","VGM","81","unknown","Other","","1d12 Slashing","","","","","Flensing claws take the form of articulated digits that extend into long metal blades. The claws are knitted into the flesh and bones of a creature's arms and can't be removed without surgical amputation.Each set of flensing claws is designed for a specific creature and can't be used by anyone else. A creature equipped with flensing claws can use its action to make one melee weapon attack with the claws. The creature adds its proficiency bonus and Strength modifier to any attack roll made with the claws, and its Strength modifier to its damage roll when it hits a target with the claws."
"Flensing Claws (Medium)","VGM","81","unknown","Other","","1d10 Slashing","","","","","Flensing claws take the form of articulated digits that extend into long metal blades. The claws are knitted into the flesh and bones of a creature's arms and can't be removed without surgical amputation.Each set of flensing claws is designed for a specific creature and can't be used by anyone else. A creature equipped with flensing claws can use its action to make one melee weapon attack with the claws. The creature adds its proficiency bonus and Strength modifier to any attack roll made with the claws, and its Strength modifier to its damage roll when it hits a target with the claws."
"Flensing Claws (Small)","VGM","81","unknown","Other","","1d8 Slashing","","","","","Flensing claws take the form of articulated digits that extend into long metal blades. The claws are knitted into the flesh and bones of a creature's arms and can't be removed without surgical amputation.Each set of flensing claws is designed for a specific creature and can't be used by anyone else. A creature equipped with flensing claws can use its action to make one melee weapon attack with the claws. The creature adds its proficiency bonus and Strength modifier to any attack roll made with the claws, and its Strength modifier to its damage roll when it hits a target with the claws."
"Flour","DMG'24","213","none","Trade Good","","","","","2 lb.","2 CP","Merchants commonly exchange trade goods without using currency."
"Flute","PHB'24","221","none","Instrument","","","","","1 lb.","2 GP","Ability: CharismaUtilize: Play a known tune (DC 10), or improvise a song (DC 15)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Forgery Kit","PHB'24","221","none","Tool","","","","","5 lb.","15 GP","Ability: DexterityUtilize: Mimic 10 or fewer words of someone else's handwriting (DC 15), or duplicate a wax seal (DC 20)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Fragmentation Grenade","DMG'24","73","none","Explosive, Modern","","","","","1 lb.","","As an action, you can either throw a grenade at a point up to 60 feet away or use a Grenade Launcher to propel the grenade to a point up to 1,000 feet away. The grenade explodes at that point, creating a particular effect in a 20-foot-radius Sphere.Each creature in the Sphere makes a DC 15 Dexterity saving throw, taking 17 (5d6) Piercing damage on a failed save or half as much damage on a successful one."
"Frostfell and Everice Trinket","ERLW","136","none","Adventuring Gear","","","","","","","Trinkets from the Frostfell and Evericed8Trinket1A small prism carved from ice that doesn't melt2A rusted iron coin, depicting a dwarf lord and the worlds ""Five Rex Undra""3A pair of eight-sided dice carved from ice that doesn't melt4A swatch of silvery fur that's cold to the touch, possibly from a winter wolf5A snowball; it doesn't melt and can't be compressed into ice6A tiny white dragon sculpted from ice that doesn't melt7A key carved from ice that doesn't melt8A single scale from a white dragon"
"Galley","PHB'24","230","none","Vehicle (Water)","","Speed: 4 mphCarrying Capacity: 150 tons cargoCrew 80, AC 15, HP 500, Damage Threshold 20","","","","30.000 GP","Speed. A ship sailing against a strong wind moves at half speed. In a dead calm (no wind), waterborne ships can't move under sail and must be rowed. Keelboats and Rowboats are used on lakes and rivers. If going downstream, add the speed of the current (typically 3 miles per hour) to the speed of the vehicle. These vehicles can't be rowed against any significant current, but they can be pulled upstream by draft animals on the shores. A Rowboat can be carried and weighs 100 pounds. Crew. A ship larger than a Keelboat or Rowboat needs a crew of skilled hirelings (see ""Services"") to function. The minimum number of skilled hirelings needed to crew a ship depends on the type of ship. Passengers. The number of Small and Medium passengers the ship can accommodate using hammocks. A ship outfitted with private accommodations can carry one-fifth as many passengers. A passenger usually pays 5 SP per day for a hammock, but prices can vary from ship to ship. A small private cabin usually costs 2 GP per day. Damage Threshold. See the rules glossary. Ship Repair. Repairs to a damaged ship can be made while the vessel is berthed. Repairing 1 Hit Point of damage requires 1 day and costs 20 GP for materials and labor. If the repairs are made in a location where supplies and skilled labor are abundant, such as a city shipyard, the repair time and cost are halved."
"Gaming Set","PHB'24","221","none","Gaming Set","","","","","","","If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too.Multiple variations of this item exist, as listed below:Dice SetDragonchess SetPlaying CardsThree-Dragon Ante Set"
"Garnet","DMG'24","214","none","Treasure (Gemstone)","","","","","","100 GP","A red, brown green, or violet gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Gilded royal coach or funeral barge","DMG'24","215","none","Treasure (Art Object)","","","","","","7.500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Ginger","DMG'24","213","none","Trade Good","","","","","1 lb.","1 GP","Merchants commonly exchange trade goods without using currency."
"Glaive","PHB'24","215","none","Weapon, Martial Weapon, Melee Weapon","","1d10 Slashing","Heavy, Reach, Two‑Handed","Mastery: Graze","6 lb.","20 GP","Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Reach. A Reach weapon adds 5 feet to your reach when you attack with it, as well as when determining your reach for Opportunity Attacks with it. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Graze. If your attack roll with this weapon misses a creature, you can deal damage to that creature equal to the ability modifier you used to make the attack roll. This damage is the same type dealt by the weapon, and the damage can be increased only by increasing the ability modifier."
"Glass Bottle","PHB'24","224","none","Adventuring Gear","","","","","2 lb.","2 GP","A Glass Bottle holds up to 1½ pints."
"Glassblower's Tools","PHB'24","220","none","Artisan's Tools","","","","","5 lb.","30 GP","Ability: IntelligenceUtilize: Discern what a glass object held in the past 24 hours (DC 15)Craft: Glass Bottle, Magnifying Glass, Spyglass, VialArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Glaur","SCAG","124","none","Instrument","","","","","","","Short, curved horns like a cornucopia. Played with valves, glaur sound like trumpets, while those without valves, known as gloon, have a more mournful sound.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Goat","DMG'24","213","none","Trade Good","","","","","","1 GP","Merchants commonly exchange trade goods without using currency."
"Gold","DMG'24","213","none","Trade Good","","","","","1 lb.","50 GP","Merchants commonly exchange trade goods without using currency."
"Gold Bar (5-pound)","DMG'24","213","none","Trade Bar","","5 in. long × 2 in. wide × ¾ in. thick","","","5 lb.","250 GP","Because large numbers of coins can be difficult to transport and account for, many merchants prefer to use trade bars—ingots of precious metals and alloys (usually silver). These bars are valued by weight."
"Gold birdcage with electrum filigree","DMG'24","215","none","Treasure (Art Object)","","","","","","250 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold bracelet","DMG'24","215","none","Treasure (Art Object)","","","","","","25 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold circlet set with four aquamarines","DMG'24","215","none","Treasure (Art Object)","","","","","","2.500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold comb shaped like a dragon with red garnets as eyes","DMG'24","215","none","Treasure (Art Object)","","","","","","750 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold cup set with emeralds","DMG'24","215","none","Treasure (Art Object)","","","","","","7.500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold idol","DMG'24","215","none","Treasure (Art Object)","","","","","","750 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold jewelry box with platinum filigree","DMG'24","215","none","Treasure (Art Object)","","","","","","7.500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold locket with a painted portrait inside","DMG'24","215","none","Treasure (Art Object)","","","","","","25 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold music box","DMG'24","215","none","Treasure (Art Object)","","","","","","2.500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold ring set with bloodstones","DMG'24","215","none","Treasure (Art Object)","","","","","","250 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold statuette set with rubies","DMG'24","215","none","Treasure (Art Object)","","","","","","7.500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Grappling Hook","PHB'24","225","none","Adventuring Gear","","","","","4 lb.","2 GP","As a Utilize action, you can throw the Grappling Hook at a railing, a ledge, or another catch within 50 feet of yourself, and the hook catches on if you succeed on a DC 13 Dexterity (Acrobatics) check. If you tied a Rope to the hook, you can then climb it."
"Greataxe","PHB'24","215","none","Weapon, Martial Weapon, Melee Weapon","","1d12 Slashing","Heavy, Two‑Handed","Mastery: Cleave","7 lb.","30 GP","Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Cleave. If you hit a creature with a melee attack roll using this weapon, you can make a melee attack roll with the weapon against a second creature within 5 feet of the first that is also within your reach. On a hit, the second creature takes the weapon's damage, but don't add your ability modifier to that damage unless that modifier is negative. You can make this extra attack only once per turn."
"Greatclub","PHB'24","215","none","Weapon, Simple Weapon, Melee Weapon","","1d8 Bludgeoning","Two‑Handed","Mastery: Push","10 lb.","2 SP","Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Push. If you hit a creature with this weapon, you can push the creature up to 10 feet straight away from yourself if it is Large or smaller."
"Greatsword","PHB'24","215","none","Weapon, Martial Weapon, Melee Weapon","","2d6 Slashing","Heavy, Two‑Handed","Mastery: Graze","6 lb.","50 GP","Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Graze. If your attack roll with this weapon misses a creature, you can deal damage to that creature equal to the ability modifier you used to make the attack roll. This damage is the same type dealt by the weapon, and the damage can be increased only by increasing the ability modifier."
"Grenade Launcher","DMG'24","73","none","Adventuring Gear, Modern","","","","","7 lb.","","As an action, you can either throw a grenade at a point up to 60 feet away or use a Grenade Launcher to propel the grenade to a point up to 1,000 feet away. The grenade explodes at that point, creating a particular effect in a 20-foot-radius Sphere."
"Gunpowder (keg)","DMG'24","73","none","Explosive","","","","","20 lb.","250 GP","Setting fire to a keg full of Gunpowder causes it to explode. When a keg explodes, each creature in a 10-foot-radius Sphere centered on the keg makes a DC 12 Dexterity saving throw, taking 24 (7d6) Fire damage on a failed save or half as much damage on a successful one."
"Gunpowder (powder horn)","DMG'24","73","none","Explosive","","","","","2 lb.","35 GP","Setting fire to a powder horn full of Gunpowder causes it to explode. When a powder horn explodes, each creature in a 10-foot-radius Sphere centered on the powder horn makes a DC 12 Dexterity saving throw, taking 10 (3d6) Fire damage on a failed save or half as much damage on a successful one."
