"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Dust of Sneezing and Choking","DMG'24","255","uncommon","Wondrous Item","","","","","","","Found in a small container, this powder resembles Dust of Disappearance, and Identify reveals it to be such. There is enough of it for one use.As a Utilize action, you can throw the dust into the air, forcing yourself and every creature in a 30-foot Emanation originating from you to make a DC 15 Constitution saving throw. Constructs, Elementals, Oozes, Plants, and Undead succeed on the save automatically.On a failed save, a creature begins sneezing uncontrollably; it has the Incapacitated condition and is suffocating. The creature repeats the save at the end of each of its turns, ending the effect on itself on a success. The effect also ends on any creature targeted by a Lesser Restoration spell."
"Dwarven Plate","DMG'24","255","very rare","Generic Variant","","","","","","","While wearing this armor, you gain a +2 bonus to Armor Class. In addition, if an effect moves you against your will along the ground, you can take a Reaction to reduce the distance you are moved by up to 10 feet. Base items. This item variant can be applied to the following base items:Half Plate Armor (Dwarven Half Plate Armor)Plate Armor (Dwarven Plate Armor)"
"Dwarven Thrower","DMG'24","256","very rare","Weapon (Warhammer), Martial Weapon, Melee Weapon","requires attunement by a Dwarf or a Creature Attuned to a Belt of Dwarvenkind","1d8 Bludgeoning","Thrown (20/60 ft.), Versatile (1d10)","Mastery: Push","5 lb.","","You gain a +3 bonus to attack rolls and damage rolls made with this magic weapon. It has Thrown with a normal range of 20 feet and a long range of 60 feet. When you hit with a ranged attack using this weapon, it deals an extra 1d8 Force damage, or an extra 2d8 Force damage if the target is a Giant. Immediately after hitting or missing, the weapon flies back to your hand. Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Versatile. A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack. Mastery: Push. If you hit a creature with this weapon, you can push the creature up to 10 feet straight away from yourself if it is Large or smaller."
"Dyrrn's Tentacle Whip","ERLW","276","very rare","Weapon (Whip), Martial Weapon, Melee Weapon","requires attunement","1d4 Slashing","finesse, reach","","3 lb.","","This long, whip-like strand of tough muscle bears a sharp stinger at one end. To attune to this symbiotic weapon, you wrap the whip around your wrist for the entire attunement period, during which time the whip painfully embeds its tendrils into your arm.You gain a +2 bonus to attack and damage rolls made with this magic whip, but attack rolls made against aberrations with this weapon have disadvantage. A creature hit by this weapon takes an extra 1d6 psychic damage. When you roll a 20 on the d20 for an attack roll with this weapon, the target is stunned until the end of its next turn.As a bonus action, you can sheathe the whip by causing it to retract into your arm, or draw the whip out of your arm again. Symbiotic Nature. The whip can't be removed from you while you're attuned to it, and you can't voluntarily end your attunement to it. If you're targeted by a spell that ends a curse, your attunement to the whip ends, and it detaches from you. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon."
"Ear Horn of Hearing","DMG'24","256","common","Wondrous Item","","","","","","","While held up to your ear, this horn suppresses the effects of the Deafened condition on you."
"Earworm","ERLW","277","uncommon","Wondrous Item","requires attunement","","","","","","To attune to this symbiont, you must hold it against the skin behind your ear for the entire attunement period, whereupon it burrows into your head and bonds to your skull. While the earworm is inside you, you can speak, read, and write Deep Speech. Spells. The earworm has 4 charges. You can cast the following spells from it, expending the necessary number of charges (spell save DC 15): detect thoughts (2 charges) or dissonant whispers (1 charge). Each time you use the earworm to cast the detect thoughts spell, it sends the information gleaned to the nearest daelkyr, or to the next nearest earworm until it reaches a daelkyr.The earworm regains 1d4 expended charges daily at dawn. Symbiotic Nature. The earworm can't be removed from you while you're attuned to it, and you can't voluntarily end your attunement to it. If you're targeted by a spell that ends a curse, your attunement to the earworm ends, and it exits your body."
"Efreeti Bottle","DMG'24","256","very rare","Wondrous Item","","","","","","","When you take a Magic action to remove the stopper of this painted brass bottle, a cloud of thick smoke flows out of it. At the end of your turn, the smoke disappears with a flash of harmless fire, and an Efreeti appears in an unoccupied space within 30 feet of you.The first time the bottle is opened, the DM rolls on the following table to determine what happens.1d10Effect1The efreeti attacks you. After fighting for 5 rounds, the efreeti disappears, and the bottle loses its magic.2-9The efreeti understands your languages and obeys your commands for 1 hour, after which it returns to the bottle, and a new stopper contains it. The stopper can't be removed for 24 hours. The next two times the bottle is opened, the same effect occurs. If the bottle is opened a fourth time, the efreeti escapes and disappears, and the bottle loses its magic.10The efreeti understands your languages and can cast Wish once for you. It disappears when it grants the wish or after 1 hour, and the bottle loses its magic."
"Efreeti Chain","DMG'24","257","legendary","Generic Variant","requires attunement","","","","","","While wearing this armor, you gain a +3 bonus to Armor Class, you have Immunity to Fire damage, and you know Primordial. In addition, you can stand on and move across molten rock as if it were solid ground. Base items. This item variant can be applied to the following base items:Chain Mail (Efreeti Chain Mail)Chain Shirt (Efreeti Chain Shirt)"
"Elder Cartographer's Glossography","AI","20","uncommon","Wondrous Item","","","","","","","When you attain rank 4, you gain a small tome that is an uncommon magic item. The elder cartographer's glossography grants advantage on Intelligence or Wisdom checks related to geographical features or locations."
"Eldritch Claw Tattoo","TCE","126","uncommon","Wondrous Item (Tattoo)","requires attunement","","","","","","Produced by a special needle, this magic tattoo depicts claw-like forms and other jagged shapes. Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin.If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space. Magical Strikes. While the tattoo is on your skin, your unarmed strikes are considered magical for the purpose of overcoming immunity and resistance to nonmagical attacks, and you gain a +1 bonus to attack and damage rolls with unarmed strikes. Eldritch Maul. As a bonus action, you can empower the tattoo for 1 minute. For the duration, each of your melee attacks with a weapon or an unarmed strike can reach a target up to 15 feet away from you, as inky tendrils launch toward the target. In addition, your melee attacks deal an extra 1d6 force damage on a hit. Once used, this bonus action can't be used again until the next dawn."
"Elemental Essence Shard","TCE","127","rare","Wondrous Item","requires attunement by a sorcerer","","","","1 lb.","","This crackling crystal contains the essence of an elemental plane. As an action, you can attach the shard to a Tiny object (such as a weapon or a piece of jewelry) or detach it. It falls off if your attunement to it ends. You can use the shard as a spellcasting focus while you hold or wear it.Roll a d4 and consult the Elemental Essence Shards table to determine the shard's essence and property. When you use a Metamagic option on a spell while you are holding or wearing the shard, you can use that property.Elemental Essence Shardsd4ElementShard1AirElemental Essence Shard (Air)2EarthElemental Essence Shard (Earth)3FireElemental Essence Shard (Fire)4WaterElemental Essence Shard (Water)"
"Elemental Essence Shard (Air)","TCE","127","rare","Wondrous Item, Spellcasting Focus","requires attunement by a sorcerer","","","","1 lb.","","This crackling crystal contains the essence of an elemental plane. As an action, you can attach the shard to a Tiny object (such as a weapon or a piece of jewelry) or detach it. It falls off if your attunement to it ends. You can use the shard as a spellcasting focus while you hold or wear it.When you use a Metamagic option on a spell while you are holding or wearing the shard, you can use the following property: Property. You can immediately fly up to 60 feet without provoking opportunity attacks."
"Elemental Essence Shard (Earth)","TCE","127","rare","Wondrous Item, Spellcasting Focus","requires attunement by a sorcerer","","","","1 lb.","","This crackling crystal contains the essence of an elemental plane. As an action, you can attach the shard to a Tiny object (such as a weapon or a piece of jewelry) or detach it. It falls off if your attunement to it ends. You can use the shard as a spellcasting focus while you hold or wear it.When you use a Metamagic option on a spell while you are holding or wearing the shard, you can use the following property: Property. You gain resistance to a damage type of your choice until the start of your next turn."
"Elemental Essence Shard (Fire)","TCE","127","rare","Wondrous Item, Spellcasting Focus","requires attunement by a sorcerer","","","","1 lb.","","This crackling crystal contains the essence of an elemental plane. As an action, you can attach the shard to a Tiny object (such as a weapon or a piece of jewelry) or detach it. It falls off if your attunement to it ends. You can use the shard as a spellcasting focus while you hold or wear it.When you use a Metamagic option on a spell while you are holding or wearing the shard, you can use the following property: Property. One target of the spell that you can see catches fire. The burning target takes 2d10 fire damage at the start of its next turn, and then the flames go out."
"Elemental Essence Shard (Water)","TCE","127","rare","Wondrous Item, Spellcasting Focus","requires attunement by a sorcerer","","","","1 lb.","","This crackling crystal contains the essence of an elemental plane. As an action, you can attach the shard to a Tiny object (such as a weapon or a piece of jewelry) or detach it. It falls off if your attunement to it ends. You can use the shard as a spellcasting focus while you hold or wear it.When you use a Metamagic option on a spell while you are holding or wearing the shard, you can use the following property: Property. You create a wave of water that bursts out from you in a 10-foot radius. Each creature of your choice that you can see in that area takes 2d6 cold damage and must succeed on a Strength saving throw against your spell save DC or be pushed 10 feet away from you and fall prone."
"Elemental Gem","DMG'24","257","uncommon","Wondrous Item","","","","","","","Multiple variations of this item exist, as listed below:Elemental Gem, Blue SapphireElemental Gem, EmeraldElemental Gem, Red CorundumElemental Gem, Yellow Diamond"
"Elemental Gem, Blue Sapphire","DMG'24","257","uncommon","Wondrous Item","","","","","","","This gem contains a mote of elemental energy. When you take a Utilize action to break the gem, an Air Elemental is summoned, and the gem ceases to be magical. The elemental appears in an unoccupied space as close to the broken gem as possible, understands your languages, obeys your commands, and takes its turn immediately after you on your Initiative count. The elemental disappears after 1 hour, when it dies, or when you dismiss it as a Bonus Action."
"Elemental Gem, Emerald","DMG'24","257","uncommon","Wondrous Item","","","","","","","This gem contains a mote of elemental energy. When you take a Utilize action to break the gem, a Water Elemental is summoned, and the gem ceases to be magical. The elemental appears in an unoccupied space as close to the broken gem as possible, understands your languages, obeys your commands, and takes its turn immediately after you on your Initiative count. The elemental disappears after 1 hour, when it dies, or when you dismiss it as a Bonus Action."
"Elemental Gem, Red Corundum","DMG'24","257","uncommon","Wondrous Item","","","","","","","This gem contains a mote of elemental energy. When you take a Utilize action to break the gem, a Fire Elemental is summoned, and the gem ceases to be magical. The elemental appears in an unoccupied space as close to the broken gem as possible, understands your languages, obeys your commands, and takes its turn immediately after you on your Initiative count. The elemental disappears after 1 hour, when it dies, or when you dismiss it as a Bonus Action."
"Elemental Gem, Yellow Diamond","DMG'24","257","uncommon","Wondrous Item","","","","","","","This gem contains a mote of elemental energy. When you take a Utilize action to break the gem, an Earth Elemental is summoned, and the gem ceases to be magical. The elemental appears in an unoccupied space as close to the broken gem as possible, understands your languages, obeys your commands, and takes its turn immediately after you on your Initiative count. The elemental disappears after 1 hour, when it dies, or when you dismiss it as a Bonus Action."
"Elixir of Health","DMG'24","257","rare","Potion","","","","","½ lb.","","When you drink this potion, you are cured of all magical contagions. In addition, the following conditions end on you: Blinded, Deafened, Paralyzed, and Poisoned.The clear, red liquid has tiny bubbles of light in it."
"Elven Chain","DMG'24","257","rare","Generic Variant","","","","","","","You gain a +1 bonus to Armor Class while you wear this armor. You are considered trained with this armor even if you lack training with Medium or Heavy armor. Base items. This item variant can be applied to the following base items:Chain Mail (Elven Chain Mail)Chain Shirt (Elven Chain Shirt)"
"Enduring Spellbook","DMG'24","257","common","Wondrous Item","","","","","","","This spellbook, along with anything written on its pages, can't be damaged by fire or water. In addition, the spellbook doesn't deteriorate with age."
"Energy Bow","DMG'24","257","very rare","Generic Variant","requires attunement","","","","","","You gain a +1 bonus to attack rolls and damage rolls made with this magic weapon, which has no string. Each time you pull your arm back in a firing motion, a magical arrow made of golden energy appears nocked and ready to fire. An arrow produced by this weapon deals Force damage instead of Piercing damage on a hit, and it disappears after it hits or misses its target. Until it disappears, the arrow emits Bright Light in a 20-foot radius and Dim Light for an additional 20 feet.This weapon has the following additional properties. Arrow of Restraint. Whenever you use this weapon to make a ranged attack against a creature, you can try to restrain the target instead of dealing damage to it. If the arrow hits, the target must succeed on a DC 15 Strength saving throw or have the Restrained condition for 1 minute. As an action, a creature Restrained by an arrow can make a DC 20 Strength (Athletics) check to try to break the restraint, ending the effect on itself on a successful check. Arrow of Transport. As a Magic action, you can fire one energy arrow from this weapon at a target you can see within 60 feet of yourself. The target can be either a willing Medium or smaller creature or an object that isn't being worn or carried, provided the object is small enough to fit inside a 5-foot Cube. The arrow teleports the target to an unoccupied space you can see within 10 feet of you. Energy Ladder. As a Magic action, you can loose a flurry of energy arrows from this weapon at a wall up to 60 feet away from yourself. The arrows become glowing rungs that stick out of the wall, forming a magical ladder up to 60 feet long on the wall. This ladder lasts for 1 minute before disappearing. Base items. This item variant can be applied to the following base items:Longbow (Energy Longbow)Shortbow (Energy Shortbow)"
"Enspelled Armor","DMG'24","258","varies","Generic Variant","requires attunement","","","","","","Multiple variations of this item exist, as listed below:Enspelled Armor (Cantrip)Enspelled Armor (Level 1)Enspelled Armor (Level 2)Enspelled Armor (Level 3)Enspelled Armor (Level 4)Enspelled Armor (Level 5)Enspelled Armor (Level 6)Enspelled Armor (Level 7)Enspelled Armor (Level 8)"
"Enspelled Armor (Cantrip)","DMG'24","258","uncommon","Generic Variant","requires attunement","","","","","","Bound into this armor is a cantrip. The cantrip is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armor, you can expend 1 charge to cast its spell.The spell's saving throw DC is 13, and its attack bonus is +5. Base items. This item variant can be applied to the following base items:Breastplate (Enspelled (Cantrip) Breastplate)Chain Mail (Enspelled (Cantrip) Chain Mail)Chain Shirt (Enspelled (Cantrip) Chain Shirt)Half Plate Armor (Enspelled (Cantrip) Half Plate Armor)Hide Armor (Enspelled (Cantrip) Hide Armor)Leather Armor (Enspelled (Cantrip) Leather Armor)Padded Armor (Enspelled (Cantrip) Padded Armor)Plate Armor (Enspelled (Cantrip) Plate Armor)Ring Mail (Enspelled (Cantrip) Ring Mail)Scale Mail (Enspelled (Cantrip) Scale Mail)Splint Armor (Enspelled (Cantrip) Splint Armor)Studded Leather Armor (Enspelled (Cantrip) Studded Leather Armor)"
"Enspelled Armor (Level 1)","DMG'24","258","uncommon","Generic Variant","requires attunement","","","","","","Bound into this armor is a level 1 spell. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armor, you can expend 1 charge to cast its spell.The spell's saving throw DC is 13, and its attack bonus is +5. Base items. This item variant can be applied to the following base items:Breastplate (Enspelled (Level 1) Breastplate)Chain Mail (Enspelled (Level 1) Chain Mail)Chain Shirt (Enspelled (Level 1) Chain Shirt)Half Plate Armor (Enspelled (Level 1) Half Plate Armor)Hide Armor (Enspelled (Level 1) Hide Armor)Leather Armor (Enspelled (Level 1) Leather Armor)Padded Armor (Enspelled (Level 1) Padded Armor)Plate Armor (Enspelled (Level 1) Plate Armor)Ring Mail (Enspelled (Level 1) Ring Mail)Scale Mail (Enspelled (Level 1) Scale Mail)Splint Armor (Enspelled (Level 1) Splint Armor)Studded Leather Armor (Enspelled (Level 1) Studded Leather Armor)"
"Enspelled Armor (Level 2)","DMG'24","258","rare","Generic Variant","requires attunement","","","","","","Bound into this armor is a level 2 spell. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armor, you can expend 1 charge to cast its spell.The spell's saving throw DC is 13, and its attack bonus is +5. Base items. This item variant can be applied to the following base items:Breastplate (Enspelled (Level 2) Breastplate)Chain Mail (Enspelled (Level 2) Chain Mail)Chain Shirt (Enspelled (Level 2) Chain Shirt)Half Plate Armor (Enspelled (Level 2) Half Plate Armor)Hide Armor (Enspelled (Level 2) Hide Armor)Leather Armor (Enspelled (Level 2) Leather Armor)Padded Armor (Enspelled (Level 2) Padded Armor)Plate Armor (Enspelled (Level 2) Plate Armor)Ring Mail (Enspelled (Level 2) Ring Mail)Scale Mail (Enspelled (Level 2) Scale Mail)Splint Armor (Enspelled (Level 2) Splint Armor)Studded Leather Armor (Enspelled (Level 2) Studded Leather Armor)"
"Enspelled Armor (Level 3)","DMG'24","258","rare","Generic Variant","requires attunement","","","","","","Bound into this armor is a level 3 spell. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armor, you can expend 1 charge to cast its spell.The spell's saving throw DC is 15, and its attack bonus is +7. Base items. This item variant can be applied to the following base items:Breastplate (Enspelled (Level 3) Breastplate)Chain Mail (Enspelled (Level 3) Chain Mail)Chain Shirt (Enspelled (Level 3) Chain Shirt)Half Plate Armor (Enspelled (Level 3) Half Plate Armor)Hide Armor (Enspelled (Level 3) Hide Armor)Leather Armor (Enspelled (Level 3) Leather Armor)Padded Armor (Enspelled (Level 3) Padded Armor)Plate Armor (Enspelled (Level 3) Plate Armor)Ring Mail (Enspelled (Level 3) Ring Mail)Scale Mail (Enspelled (Level 3) Scale Mail)Splint Armor (Enspelled (Level 3) Splint Armor)Studded Leather Armor (Enspelled (Level 3) Studded Leather Armor)"
"Enspelled Armor (Level 4)","DMG'24","258","very rare","Generic Variant","requires attunement","","","","","","Bound into this armor is a level 4 spell. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armor, you can expend 1 charge to cast its spell.The spell's saving throw DC is 15, and its attack bonus is +7. Base items. This item variant can be applied to the following base items:Breastplate (Enspelled (Level 4) Breastplate)Chain Mail (Enspelled (Level 4) Chain Mail)Chain Shirt (Enspelled (Level 4) Chain Shirt)Half Plate Armor (Enspelled (Level 4) Half Plate Armor)Hide Armor (Enspelled (Level 4) Hide Armor)Leather Armor (Enspelled (Level 4) Leather Armor)Padded Armor (Enspelled (Level 4) Padded Armor)Plate Armor (Enspelled (Level 4) Plate Armor)Ring Mail (Enspelled (Level 4) Ring Mail)Scale Mail (Enspelled (Level 4) Scale Mail)Splint Armor (Enspelled (Level 4) Splint Armor)Studded Leather Armor (Enspelled (Level 4) Studded Leather Armor)"
"Enspelled Armor (Level 5)","DMG'24","258","very rare","Generic Variant","requires attunement","","","","","","Bound into this armor is a level 5 spell. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armor, you can expend 1 charge to cast its spell.The spell's saving throw DC is 17, and its attack bonus is +9. Base items. This item variant can be applied to the following base items:Breastplate (Enspelled (Level 5) Breastplate)Chain Mail (Enspelled (Level 5) Chain Mail)Chain Shirt (Enspelled (Level 5) Chain Shirt)Half Plate Armor (Enspelled (Level 5) Half Plate Armor)Hide Armor (Enspelled (Level 5) Hide Armor)Leather Armor (Enspelled (Level 5) Leather Armor)Padded Armor (Enspelled (Level 5) Padded Armor)Plate Armor (Enspelled (Level 5) Plate Armor)Ring Mail (Enspelled (Level 5) Ring Mail)Scale Mail (Enspelled (Level 5) Scale Mail)Splint Armor (Enspelled (Level 5) Splint Armor)Studded Leather Armor (Enspelled (Level 5) Studded Leather Armor)"
"Enspelled Armor (Level 6)","DMG'24","258","legendary","Generic Variant","requires attunement","","","","","","Bound into this armor is a level 6 spell. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armor, you can expend 1 charge to cast its spell.The spell's saving throw DC is 17, and its attack bonus is +9. Base items. This item variant can be applied to the following base items:Breastplate (Enspelled (Level 6) Breastplate)Chain Mail (Enspelled (Level 6) Chain Mail)Chain Shirt (Enspelled (Level 6) Chain Shirt)Half Plate Armor (Enspelled (Level 6) Half Plate Armor)Hide Armor (Enspelled (Level 6) Hide Armor)Leather Armor (Enspelled (Level 6) Leather Armor)Padded Armor (Enspelled (Level 6) Padded Armor)Plate Armor (Enspelled (Level 6) Plate Armor)Ring Mail (Enspelled (Level 6) Ring Mail)Scale Mail (Enspelled (Level 6) Scale Mail)Splint Armor (Enspelled (Level 6) Splint Armor)Studded Leather Armor (Enspelled (Level 6) Studded Leather Armor)"
"Enspelled Armor (Level 7)","DMG'24","258","legendary","Generic Variant","requires attunement","","","","","","Bound into this armor is a level 7 spell. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armor, you can expend 1 charge to cast its spell.The spell's saving throw DC is 18, and its attack bonus is +10. Base items. This item variant can be applied to the following base items:Breastplate (Enspelled (Level 7) Breastplate)Chain Mail (Enspelled (Level 7) Chain Mail)Chain Shirt (Enspelled (Level 7) Chain Shirt)Half Plate Armor (Enspelled (Level 7) Half Plate Armor)Hide Armor (Enspelled (Level 7) Hide Armor)Leather Armor (Enspelled (Level 7) Leather Armor)Padded Armor (Enspelled (Level 7) Padded Armor)Plate Armor (Enspelled (Level 7) Plate Armor)Ring Mail (Enspelled (Level 7) Ring Mail)Scale Mail (Enspelled (Level 7) Scale Mail)Splint Armor (Enspelled (Level 7) Splint Armor)Studded Leather Armor (Enspelled (Level 7) Studded Leather Armor)"
"Enspelled Armor (Level 8)","DMG'24","258","legendary","Generic Variant","requires attunement","","","","","","Bound into this armor is a level 8 spell. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armor, you can expend 1 charge to cast its spell.The spell's saving throw DC is 18, and its attack bonus is +10. Base items. This item variant can be applied to the following base items:Breastplate (Enspelled (Level 8) Breastplate)Chain Mail (Enspelled (Level 8) Chain Mail)Chain Shirt (Enspelled (Level 8) Chain Shirt)Half Plate Armor (Enspelled (Level 8) Half Plate Armor)Hide Armor (Enspelled (Level 8) Hide Armor)Leather Armor (Enspelled (Level 8) Leather Armor)Padded Armor (Enspelled (Level 8) Padded Armor)Plate Armor (Enspelled (Level 8) Plate Armor)Ring Mail (Enspelled (Level 8) Ring Mail)Scale Mail (Enspelled (Level 8) Scale Mail)Splint Armor (Enspelled (Level 8) Splint Armor)Studded Leather Armor (Enspelled (Level 8) Studded Leather Armor)"
"Enspelled Staff","DMG'24","258","varies","Staff, Weapon, Simple Weapon, Melee Weapon","requires attunement by a Spellcaster","1d6 Bludgeoning","Versatile (1d8)","Mastery: Topple","4 lb.","","Versatile. A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack. Mastery: Topple. If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition.Multiple variations of this item exist, as listed below:Enspelled Staff (Cantrip)Enspelled Staff (Level 1)Enspelled Staff (Level 2)Enspelled Staff (Level 3)Enspelled Staff (Level 4)Enspelled Staff (Level 5)Enspelled Staff (Level 6)Enspelled Staff (Level 7)Enspelled Staff (Level 8)"
"Enspelled Staff (Cantrip)","DMG'24","258","uncommon","Staff, Weapon, Simple Weapon, Melee Weapon","requires attunement by a Spellcaster","1d6 Bludgeoning","Versatile (1d8)","Mastery: Topple","4 lb.","","Bound into this staff is a cantrip. The cantrip is determined when the staff is created and can be of any school of magic. The staff has 6 charges and regains 1d6 expended charges daily at dawn. While holding the staff, you can expend 1 charge to cast its spell. If you expend the staff's last charge, roll 1d20. On a 1, the staff loses its properties and becomes a nonmagical Quarterstaff.The spell's saving throw DC is 13, and its attack bonus is +5. Versatile. A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack. Mastery: Topple. If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
"Enspelled Staff (Level 1)","DMG'24","258","uncommon","Staff, Weapon, Simple Weapon, Melee Weapon","requires attunement by a Spellcaster","1d6 Bludgeoning","Versatile (1d8)","Mastery: Topple","4 lb.","","Bound into this staff is a level 1 spell. The spell is determined when the staff is created and can be of any school of magic. The staff has 6 charges and regains 1d6 expended charges daily at dawn. While holding the staff, you can expend 1 charge to cast its spell. If you expend the staff's last charge, roll 1d20. On a 1, the staff loses its properties and becomes a nonmagical Quarterstaff.The spell's saving throw DC is 13, and its attack bonus is +5. Versatile. A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack. Mastery: Topple. If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
"Enspelled Staff (Level 2)","DMG'24","258","rare","Staff, Weapon, Simple Weapon, Melee Weapon","requires attunement by a Spellcaster","1d6 Bludgeoning","Versatile (1d8)","Mastery: Topple","4 lb.","","Bound into this staff is a level 2 spell. The spell is determined when the staff is created and can be of any school of magic. The staff has 6 charges and regains 1d6 expended charges daily at dawn. While holding the staff, you can expend 1 charge to cast its spell. If you expend the staff's last charge, roll 1d20. On a 1, the staff loses its properties and becomes a nonmagical Quarterstaff.The spell's saving throw DC is 13, and its attack bonus is +5. Versatile. A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack. Mastery: Topple. If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
"Enspelled Staff (Level 3)","DMG'24","258","rare","Staff, Weapon, Simple Weapon, Melee Weapon","requires attunement by a Spellcaster","1d6 Bludgeoning","Versatile (1d8)","Mastery: Topple","4 lb.","","Bound into this staff is a level 3 spell. The spell is determined when the staff is created and can be of any school of magic. The staff has 6 charges and regains 1d6 expended charges daily at dawn. While holding the staff, you can expend 1 charge to cast its spell. If you expend the staff's last charge, roll 1d20. On a 1, the staff loses its properties and becomes a nonmagical Quarterstaff.The spell's saving throw DC is 15, and its attack bonus is +7. Versatile. A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack. Mastery: Topple. If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
"Enspelled Staff (Level 4)","DMG'24","258","very rare","Staff, Weapon, Simple Weapon, Melee Weapon","requires attunement by a Spellcaster","1d6 Bludgeoning","Versatile (1d8)","Mastery: Topple","4 lb.","","Bound into this staff is a level 4 spell. The spell is determined when the staff is created and can be of any school of magic. The staff has 6 charges and regains 1d6 expended charges daily at dawn. While holding the staff, you can expend 1 charge to cast its spell. If you expend the staff's last charge, roll 1d20. On a 1, the staff loses its properties and becomes a nonmagical Quarterstaff.The spell's saving throw DC is 15, and its attack bonus is +7. Versatile. A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack. Mastery: Topple. If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
"Enspelled Staff (Level 5)","DMG'24","258","very rare","Staff, Weapon, Simple Weapon, Melee Weapon","requires attunement by a Spellcaster","1d6 Bludgeoning","Versatile (1d8)","Mastery: Topple","4 lb.","","Bound into this staff is a level 5 spell. The spell is determined when the staff is created and can be of any school of magic. The staff has 6 charges and regains 1d6 expended charges daily at dawn. While holding the staff, you can expend 1 charge to cast its spell. If you expend the staff's last charge, roll 1d20. On a 1, the staff loses its properties and becomes a nonmagical Quarterstaff.The spell's saving throw DC is 17, and its attack bonus is +9. Versatile. A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack. Mastery: Topple. If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
